"Step","Score_raw","Score_movingavg"
834,-0.999599950504489,-0.999599950504489
1101,NA,-0.999599950504489
1628,NA,-0.999599950504489
1668,-0.999599950504489,-0.999599950504489
2304,NA,-0.999599950504489
2502,-0.999599950504489,-0.999599950504489
2913,NA,-0.999599950504489
3336,-0.999599950504489,-0.999599950504489
3503,NA,-0.999599950504489
4106,NA,-0.999599950504489
4170,-0.999599950504489,-0.999599950504489
4826,NA,-0.999599950504489
5004,-0.999599950504489,-0.999599950504489
5441,NA,-0.999599950504489
5838,-0.999599950504489,-0.999599950504489
6045,NA,-0.999599950504489
6669,NA,-0.999599950504489
6672,-0.999599950504489,-0.999599950504489
7396,NA,-0.999599950504489
7506,-0.999599950504489,-0.999599950504489
8045,NA,-0.999599950504489
8340,-0.999599950504489,-0.999599950504489
8670,NA,-0.999599950504489
9174,-0.999599950504489,-0.999599950504489
9298,NA,-0.999599950504489
9940,NA,-0.999599950504489
10008,-0.999599950504489,-0.999599950504489
10613,NA,-0.999599950504489
10842,-0.999599950504489,-0.999599950504489
11254,NA,-0.999599950504489
11676,-0.999599950504489,-0.999599950504489
11888,NA,-0.999599950504489
12510,-0.999599950504489,-0.999599950504489
12518,NA,-0.999599950504489
13153,NA,-0.999599950504489
13344,-0.999599950504489,-0.999599950504489
13893,NA,-0.999599950504489
14178,-0.999599950504489,-0.999599950504489
14523,NA,-0.999599950504489
15012,-0.999599950504489,-0.999599950504489
15151,NA,-0.999599950504489
15789,NA,-0.999599950504489
15846,-0.999599950504489,-0.999599950504489
16536,NA,-0.999599950504489
16680,-0.999599950504489,-0.999599950504489
17178,NA,-0.999599950504489
17514,-0.999599950504489,-0.999599950504489
17821,NA,-0.999599950504489
18348,-0.999599950504489,-0.999599950504489
18467,NA,-0.999599950504489
19133,NA,-0.999599950504489
19182,-0.999599950504489,-0.999599950504489
19888,NA,-0.999599950504489
20016,-0.999599950504489,-0.999599950504489
20461,NA,-0.999599950504489
20850,-0.999599950504489,-0.999599950504489
21107,NA,-0.999599950504489
21684,-0.999599950504489,-0.999599950504489
21753,NA,-0.999599950504489
22411,NA,-0.999599950504489
22518,-0.999599950504489,-0.999599950504489
23160,NA,-0.999599950504489
23352,-0.999599950504489,-0.999599950504489
23819,NA,-0.999599950504489
24186,-0.999599950504489,-0.999599950504489
24476,NA,-0.999599950504489
25020,-0.999599950504489,-0.999599950504489
25133,NA,-0.999599950504489
25789,NA,-0.999599950504489
25854,-0.999599950504489,-0.999599950504489
26541,NA,-0.999599950504489
26688,-0.999599950504489,-0.999599950504489
27197,NA,-0.999599950504489
27522,-0.999599950504489,-0.999599950504489
27869,NA,-0.999599950504489
28356,-0.999599950504489,-0.999599950504489
28525,NA,-0.999599950504489
29187,NA,-0.999599950504489
29190,-0.999599950504489,-0.999599950504489
29948,NA,-0.999599950504489
30024,-0.999599950504489,-0.999599950504489
30529,NA,-0.999599950504489
30858,-0.999599950504489,-0.999599950504489
31189,NA,-0.999599950504489
31692,-0.999599950504489,-0.999599950504489
31847,NA,-0.999599950504489
32496,NA,-0.999599950504489
32526,-0.999599950504489,-0.999599950504489
33244,NA,-0.999599950504489
33360,-0.999599950504489,-0.999599950504489
33885,NA,-0.999599950504489
34194,-0.999599950504489,-0.999599950504489
34535,NA,-0.999599950504489
35028,-0.999599950504489,-0.999599950504489
35183,NA,-0.999599950504489
35837,NA,-0.999599950504489
35862,-0.999599950504489,-0.999599950504489
36589,NA,-0.999599950504489
36696,-0.999599950504489,-0.999599950504489
37246,NA,-0.999599950504489
37530,-0.999599950504489,-0.999599950504489
37901,NA,-0.999599950504489
38364,-0.999599950504489,-0.999599950504489
38557,NA,-0.999599950504489
39198,-0.999599950504489,-0.999599950504489
39206,NA,-0.999599950504489
39853,NA,-0.999599950504489
40032,-0.999599950504489,-0.999599950504489
40539,NA,-0.999599950504489
40866,-0.999599950504489,-0.999599950504489
41197,NA,-0.999599950504489
41700,-0.999599950504489,-0.999599950504489
41850,NA,-0.999599950504489
42496,NA,-0.999599950504489
42534,-0.999599950504489,-0.999599950504489
43254,NA,-0.999599950504489
43368,-0.999599950504489,-0.999599950504489
43908,NA,-0.999599950504489
44202,-0.999599950504489,-0.999599950504489
44554,NA,-0.999599950504489
45036,-0.999599950504489,-0.999599950504489
45211,NA,-0.999599950504489
45867,NA,-0.999599950504489
45870,-0.999599950504489,-0.999599950504489
46625,NA,-0.988097569948184
46704,-0.999599950504489,-0.988097569948184
47283,NA,-0.988165631371594
47538,-0.999599950504489,-0.988165631371594
47948,NA,-0.988232892072376
48372,-0.999599950504489,-0.988232892072376
48609,NA,-0.988232892072376
49206,-0.999599950504489,-0.988299366098295
49266,NA,-0.988299366098295
49928,NA,-0.988365067170424
50040,-0.999599950504489,-0.988365067170424
50607,NA,-0.988430008692586
50874,-0.999599950504489,-0.988430008692586
51265,NA,-0.98849420376047
51708,-0.999599950504489,-0.98849420376047
51917,NA,-0.98849420376047
52542,-0.999599950504489,-0.988557665170436
52573,NA,-0.988557665170436
53242,NA,-0.988620405428016
53376,-0.999599950504489,-0.988620405428016
53998,NA,-0.988682436756132
54210,-0.999599950504489,-0.988682436756132
54665,NA,-0.988743771103033
55044,-0.999599950504489,-0.988743771103033
55327,NA,-0.988804420149968
55878,-0.999599950504489,-0.988804420149968
55981,NA,-0.988804420149968
56612,NA,-0.988864395318604
56712,-0.999599950504489,-0.988864395318604
57353,NA,-0.988923707778195
57546,-0.999599950504489,-0.988923707778195
57991,NA,-0.988982368452515
58380,-0.999599950504489,-0.988982368452515
58637,NA,-0.98904038802657
59214,-0.999599950504489,-0.98904038802657
59286,NA,-0.98904038802657
59939,NA,-0.98909777695308
